"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","yr_sold","age","renovated","dist"
"1",7129300520,2014-10-13,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,2014,59,0,11986.0992995076
"2",6414100192,2014-12-09,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,2014,63,0,12817.1612597344
"3",5631500400,2015-02-25,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,2015,82,0,16435.3512012859
"4",2487200875,2014-12-09,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2014,49,0,10550.038365767
"5",1954400510,2015-02-18,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,2015,28,0,21578.1245518379
"6",7237550310,2014-05-12,1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,2014,13,0,25159.3406764725
"7",1321400060,2014-06-27,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,2014,19,0,33008.4610480944
"8",2008000270,2015-01-15,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,2015,52,0,21934.2654302814
"9",2414600126,2015-04-15,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,2015,55,0,10459.3793380407
"10",3793500160,2015-03-12,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,2015,12,0,34839.3227383932
"11",1736800520,2015-04-03,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,2015,50,0,14056.697583191
"12",9212900260,2014-05-27,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,2014,72,0,9801.31993234881
"13",114101516,2014-05-28,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,2014,87,0,18358.7048835518
"14",6054650070,2014-10-07,4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,2014,37,0,21558.8277094773
"15",1175000570,2015-03-12,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,2015,115,0,8485.19808962613
"16",9297300055,2015-01-24,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,2015,36,0,5037.99423970538
"17",1875500060,2014-07-31,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,2014,20,0,30866.3269804128
"18",6865200140,2014-05-29,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,2014,98,0,6574.36329772363
"19",16000397,2014-12-05,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,2014,93,0,34347.5655242685
"20",7983200060,2015-04-24,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,2015,46,0,30331.4214659854
"21",6300500875,2014-05-14,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,2014,67,0,10740.8199455142
"22",2524049179,2014-08-26,2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,2014,46,0,11151.8729402432
"23",7137970340,2014-07-03,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,2014,19,0,33457.600348673
"24",8091400200,2014-05-16,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,2014,29,0,30801.5925108649
"25",3814700200,2014-11-20,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,2014,29,0,28526.1844800759
"26",1202000200,2014-11-03,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,2014,73,0,34633.431663331
"27",1794500383,2014-06-26,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,2014,99,0,4170.22966082812
"28",3303700376,2014-12-01,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,2014,105,0,2231.08353036517
"29",5101402488,2014-06-24,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,2014,66,0,10107.2752582912
"30",1873100390,2015-03-02,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,2015,10,0,20099.6702358992
"31",8562750320,2014-11-10,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,2014,11,0,21053.856488026
"32",2426039314,2014-12-01,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,2014,9,0,13620.4426766229
"33",461000390,2014-06-24,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,2014,85,0,8888.99852827692
"34",7589200193,2014-11-10,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,2014,85,0,9752.10381747366
